TDEP,GR,RESD,BS,CAL,DCAL,NPHI,PE,DRHO,RHOB,DTC
29.99999999990893,23.34170150756836,,,,,,,,,
30.09999999990893,23.106502532958984,,,,,,,,,
30.199999999908933,22.75370216369629,,,,,,,,,
30.299999999908934,21.88877296447754,,,,,,,,,
30.399999999908935,21.289390563964844,,,,,,,,,
30.499999999908937,20.212024688720703,,,,,,,,,
30.59999999990894,19.825082778930664,,,,,,,,,
30.69999999990894,20.356178283691406,,,,,,,,,
30.79999999990894,20.621726989746094,,,,,,,,,
30.899999999908943,21.5018310546875,,,,,,,,,
30.999999999908944,22.086036682128906,,,,,,,,,
31.099999999908945,23.148229598999023,,,,,,,,,
31.199999999908947,24.582191467285156,,,,,,,,,
31.299999999908948,25.340900421142578,,,,,,,,,
31.39999999990895,26.827972412109375,,,,,,,,,
31.49999999990895,27.692901611328125,,,,,,,,,
31.599999999908952,29.06995964050293,,,,,,,,,
31.699999999908954,30.95155906677246,,,,,,,,,
31.799999999908955,31.4371337890625,,,,,,,,,
31.899999999908957,30.925004959106445,,,,,,,,,
31.999999999908958,29.07375144958496,,,,,,,,,
32.09999999990896,26.68381690979004,,,,,,,,,
32.19999999990896,24.859121322631836,,,,,,,,,
32.29999999990896,24.107999801635742,,,,,,,,,
32.399999999908964,23.796926498413086,,,,,,,,,
32.499999999908965,23.766578674316406,,,,,,,,,
32.59999999990897,23.607250213623047,,,,,,,,,
32.69999999990897,23.64139175415039,,,,,,,,,
32.79999999990897,24.24835777282715,,,,,,,,,
32.89999999990897,24.5670166015625,,,,,,,,,
32.99999999990897,25.390216827392578,,,,,,,,,
33.099999999908974,25.238473892211914,,,,,,,,,
33.199999999908975,24.620128631591797,,,,,,,,,
33.29999999990898,24.931198120117188,,,,,,,,,
33.39999999990898,24.942577362060547,,,,,,,,,
33.49999999990898,25.70128631591797,,,,,,,,,
33.59999999990898,26.368953704833984,,,,,,,,,
33.69999999990898,26.429651260375977,,,,,,,,,
33.799999999908984,26.945571899414062,,,,,,,,,
